"Cluster","Question","Total sec","No. of Regions","Total sec on 'kod'","Total sec on 'odgovori'","Total sec on 'pitanje'","Total sec on 'pitanje-kod'","Total sec on 'prazno'","Total sec on 'prethodno'","Total sec on 'sledece'","No. Regions of 'kod'","No. Regions of 'odgovori'","No. Regions of 'pitanje'","No. Regions of 'pitanje-kod'","No. Regions of 'prazno'","No. Regions of 'prethodno'","No. Regions of 'sledece'","Mean sec on 'kod'","Mean sec on 'odgovori'","Mean sec on 'pitanje'","Mean sec on 'pitanje-kod'","Mean sec on 'prazno'","Mean sec on 'prethodno'","Mean sec on 'sledece'","Top region before 'kod'","Top region before 'odgovori'","Top region before 'pitanje'","Top region before 'pitanje-kod'","Top region before 'prazno'","Top region before 'prethodno'","Top region before 'sledece'","Top region after 'kod'","Top region after 'odgovori'","Top region after 'pitanje'","Top region after 'pitanje-kod'","Top region after 'prazno'","Top region after 'prethodno'","Top region after 'sledece'"
"5","T2_K_Q21",27.099999999999998,16,16.7,8.5,1.6,0.0,0.0,0.0,0.3,7,6,2,0,0,0,1,2.3857142857142857,1.4166666666666667,0.8,0.0,0.0,0.0,0.3,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"5","T2_K_Q23",49.999999999999986,25,34.599999999999994,11.8,1.7999999999999998,0.3,1.3,0.0,0.2,9,8,2,1,4,0,1,3.8444444444444446,1.475,0.8999999999999999,0.3,0.325,0.0,0.2,1,0,0,2,0,-1,0,1,0,0,0,1,-1,-1
"5","T2_K_Q29",45.400000000000006,19,33.9,9.0,1.3,0.0,0.0,0.0,1.2,9,8,1,0,0,0,1,3.7666666666666666,1.125,1.3,0.0,0.0,0.0,1.2,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"5","T2_K_Q30",48.00000000000001,22,26.4,6.8,10.299999999999999,0.0,1.6,0.0,2.9,8,5,5,0,3,0,1,3.3,1.3599999999999999,2.06,0.0,0.5333333333333333,0.0,2.9,2,0,0,-1,0,-1,1,2,0,0,-1,0,-1,-1
"5","T2_S_Q4",62.0,19,35.3,23.8,1.8,0.0,0.0,0.0,1.1,9,8,1,0,0,0,1,3.922222222222222,2.975,1.8,0.0,0.0,0.0,1.1,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"5","T2_S_Q13",38.8,11,23.399999999999995,12.799999999999999,1.1,0.0,0.0,0.0,1.5,5,4,1,0,0,0,1,4.68,3.2,1.1,0.0,0.0,0.0,1.5,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"5","T2_S_Q20",17.4,8,13.2,3.9,0.0,0.0,0.0,0.0,0.3,3,4,0,0,0,0,1,4.4,0.9750000000000001,0.0,0.0,0.0,0.0,0.3,1,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1
"5","T2_S_Q24",25.099999999999998,8,13.1,6.5,2.0,0.0,0.0,0.0,3.5,3,2,1,0,0,0,2,4.366666666666666,3.25,2.0,0.0,0.0,0.0,1.75,1,0,0,-1,-1,-1,0,1,0,0,-1,-1,-1,1
"5","T2_S_Q26",43.89999999999999,12,23.599999999999998,11.9,6.3,0.0,0.0,0.0,2.1,6,3,1,0,0,0,2,3.9333333333333336,3.966666666666667,6.3,0.0,0.0,0.0,1.05,1,0,0,-1,-1,-1,0,1,0,0,-1,-1,-1,0
"5","T2_S_Q29",29.299999999999994,16,17.0,7.6000000000000005,3.0999999999999996,0.4,0.0,0.0,1.2,6,5,3,1,0,0,1,2.8333333333333335,1.52,1.0333333333333332,0.4,0.0,0.0,1.2,1,0,0,0,-1,-1,1,1,0,1,2,-1,-1,-1
"6","T1_S_Q1",12.2,4,6.4,3.8,0.5,0.0,0.0,0.0,1.5,1,1,1,0,0,0,1,6.4,3.8,0.5,0.0,0.0,0.0,1.5,2,0,-1,-1,-1,-1,1,1,6,0,-1,-1,-1,-1
